Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total 
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Garden Hill,Total,44,341,726,115,"1,226"
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Total,"Row / En
bande",1,4,19,2,26
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Total,"Apt &
Other /
App. &
autres",148,"1,148","1,650",176,"3,122"
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Total,Total,149,"1,152","1,669",178,"3,148"
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,West Moncton ~ Moncton Ouest,"Row / En
bande",--,--,--,--,--
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,West Moncton ~ Moncton Ouest,"Apt &
Other /
App. &
autres",110,374,612,45,"1,141"
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,West Moncton ~ Moncton Ouest,Total,110,374,612,45,"1,141"
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,Total,"Row / En
bande",--,--,--,--,--
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,Total,"Apt &
Other /
App. &
autres",110,374,612,45,"1,141"
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,Total,Total,110,374,612,45,"1,141"
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Sunny Brae,"Row / En
bande",--,--,--,--,--
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Sunny Brae,"Apt &
Other /
App. &
autres",3,42,270,27,342
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Sunny Brae,Total,3,42,270,27,342
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Lewisville/Harrisville,"Row / En
bande",0,0,14,0,14
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Lewisville/Harrisville,"Apt &
Other /
App. &
autres",15,105,444,20,584
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Lewisville/Harrisville,Total,15,105,458,20,598
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Humphrey,"Row / En
bande",0,4,19,0,23
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Humphrey,"Apt &
Other /
App. &
autres",33,279,"1,251",72,"1,635"
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Humphrey,Total,33,283,"1,270",72,"1,658"
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Magnetic Hill/Irishtown,"Row / En
bande",--,--,--,--,--
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Magnetic Hill/Irishtown,"Apt &
Other /
App. &
autres",--,--,--,--,--
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Magnetic Hill/Irishtown,Total,--,--,--,--,--
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Total,"Row / En
bande",0,4,33,0,37
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Total,"Apt &
Other /
App. &
autres",51,426,"1,965",119,"2,561"
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Total,Total,51,430,"1,998",119,"2,598"
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Parkton,"Row / En
bande",--,--,--,--,--
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Parkton,"Apt &
Other /
App. &
autres",135,545,"1,303",86,"2,069"
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Parkton,Total,135,545,"1,303",86,"2,069"
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,North End/Ryan Road/Hildegarde,"Row / En
bande",--,--,--,--,--
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,North End/Ryan Road/Hildegarde,"Apt &
Other /
App. &
autres",5,55,436,7,503
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,North End/Ryan Road/Hildegarde,Total,5,55,436,7,503
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Total,"Row / En
bande",--,--,--,--,--
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Total,"Apt &
Other /
App. &
autres",140,600,"1,739",93,"2,572"
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Total,Total,140,600,"1,739",93,"2,572"
N.B./N.-B.,Moncton,Riverview,Riverview,"Row / En
bande",0,1,20,15,36
N.B./N.-B.,Moncton,Riverview,Riverview,"Apt &
Other /
App. &
autres",7,177,"1,064",42,"1,290"
N.B./N.-B.,Moncton,Riverview,Riverview,Total,7,178,"1,084",57,"1,326"
N.B./N.-B.,Moncton,Riverview,Total,"Row / En
bande",0,1,20,15,36
N.B./N.-B.,Moncton,Riverview,Total,"Apt &
Other /
App. &
autres",7,177,"1,064",42,"1,290"
N.B./N.-B.,Moncton,Riverview,Total,Total,7,178,"1,084",57,"1,326"
N.B./N.-B.,Moncton,Dieppe City ~ Ville de Dieppe,Downtown Dieppe ~ Dieppe (centre-ville),"Row / En
bande",0,0,50,0,50
N.B./N.-B.,Moncton,Dieppe City ~ Ville de Dieppe,Downtown Dieppe ~ Dieppe (centre-ville),"Apt &
Other /
App. &
autres",2,186,"1,187",20,"1,395"
N.B./N.-B.,Moncton,Dieppe City ~ Ville de Dieppe,Downtown Dieppe ~ Dieppe (centre-ville),Total,2,186,"1,237",20,"1,445"
N.B./N.-B.,Moncton,Dieppe City ~ Ville de Dieppe,St. Anselme,"Row / En
bande",0,2,22,6,30
N.B./N.-B.,Moncton,Dieppe City ~ Ville de Dieppe,St. Anselme,"Apt &
Other /
App. &
autres",0,13,103,0,116
N.B./N.-B.,Moncton,Dieppe City ~ Ville de Dieppe,St. Anselme,Total,0,15,125,6,146
N.B./N.-B.,Moncton,Dieppe City ~ Ville de Dieppe,Fox Creek/Lakeburn,"Row / En
bande",--,--,--,--,--
N.B./N.-B.,Moncton,Dieppe City ~ Ville de Dieppe,Fox Creek/Lakeburn,"Apt &
Other /
App. &
autres",0,40,271,38,349
N.B./N.-B.,Moncton,Dieppe City ~ Ville de Dieppe,Fox Creek/Lakeburn,Total,0,40,271,38,349
N.B./N.-B.,Moncton,Dieppe City ~ Ville de Dieppe,Total,"Row / En
bande",0,2,72,6,80
N.B./N.-B.,Moncton,Dieppe City ~ Ville de Dieppe,Total,"Apt &
Other /
App. &
autres",2,239,"1,561",58,"1,860"
N.B./N.-B.,Moncton,Dieppe City ~ Ville de Dieppe,Total,Total,2,241,"1,633",64,"1,940"
N.B./N.-B.,Moncton,Remainder of CMA ~ Reste de la RMR,"Southern Remainder of Moncton CMA ~
Moncton RMR (reste Sud)","Row / En
bande",0,22,0,0,22
N.B./N.-B.,Moncton,Remainder of CMA ~ Reste de la RMR,"Southern Remainder of Moncton CMA ~
Moncton RMR (reste Sud)","Apt &
Other /
App. &
autres",1,35,46,9,91
N.B./N.-B.,Moncton,Remainder of CMA ~ Reste de la RMR,"Southern Remainder of Moncton CMA ~
Moncton RMR (reste Sud)",Total,1,57,46,9,113
N.B./N.-B.,Moncton,Remainder of CMA ~ Reste de la RMR,"Northern Remainder of Moncton CMA ~
Moncton RMR (reste Nord)","Row / En
bande",0,5,15,0,20
N.B./N.-B.,Moncton,Remainder of CMA ~ Reste de la RMR,"Northern Remainder of Moncton CMA ~
Moncton RMR (reste Nord)","Apt &
Other /
App. &
autres",0,0,15,0,15
N.B./N.-B.,Moncton,Remainder of CMA ~ Reste de la RMR,"Northern Remainder of Moncton CMA ~
Moncton RMR (reste Nord)",Total,0,5,30,0,35
N.B./N.-B.,Moncton,Remainder of CMA ~ Reste de la RMR,Total,"Row / En
bande",0,27,15,0,42
N.B./N.-B.,Moncton,Remainder of CMA ~ Reste de la RMR,Total,"Apt &
Other /
App. &
autres",1,35,61,9,106
N.B./N.-B.,Moncton,Remainder of CMA ~ Reste de la RMR,Total,Total,1,62,76,9,148
N.B./N.-B.,Moncton,Total,Total,"Row / En
bande",1,38,159,23,221
N.B./N.-B.,Moncton,Total,Total,"Apt &
Other /
App. &
autres",459,"2,999","8,652",542,"12,652"
