Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Bedford South ~ Bedford (Sud),"Apt &
Other /
App. &
autres",**,',"$1,005",a,"$1,352",a,"$1,496",b,"$1,265",a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Bedford South ~ Bedford (Sud),Total,**,',"$1,005",a,"$1,352",a,"$1,496",b,"$1,265",a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Total,"Row / En
bande",--,',**,',"$1,016",c,"$1,471",b,"$1,317",b
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Total,"Apt &
Other /
App. &
autres",$776,a,$923,a,"$1,186",a,"$1,405",a,"$1,128",a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Total,Total,$776,a,$922,a,"$1,185",a,"$1,411",a,"$1,131",a
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Wyse Road ~ Chemin Wyse,"Row / En
bande",--,',--,',**,',**,',**,'
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Wyse Road ~ Chemin Wyse,"Apt &
Other /
App. &
autres",$664,a,$808,b,$949,b,**,',$888,b
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Wyse Road ~ Chemin Wyse,Total,$664,a,$808,b,$949,b,**,',$888,b
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,"Albro Lake/Lake Banook ~ Lac Albro/Lac
Banook","Row / En
bande",--,',--,',--,',**,',**,'
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,"Albro Lake/Lake Banook ~ Lac Albro/Lac
Banook","Apt &
Other /
App. &
autres",**,',$960,a,"$1,234",a,"$1,440",a,"$1,178",a
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,"Albro Lake/Lake Banook ~ Lac Albro/Lac
Banook",Total,**,',$960,a,"$1,234",a,"$1,440",a,"$1,178",a
