Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
N.S./N.-É.,Total,Total,Total,"Row / En
bande",**,,**,,"$1,075",c,"$1,622",c,"$1,418",c
N.S./N.-É.,Total,Total,Total,"Apt &
Other /
App. &
autres",$902,a,"$1,084",a,"$1,335",a,"$1,564",a,"$1,244",a
N.S./N.-É.,Total,Total,Total,Total,$902,a,"$1,085",a,"$1,334",a,"$1,569",a,"$1,247",a
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Downtown Moncton ~ Moncton (centre-ville),"Row / En
bande",**,,**,,**,,**,,**,
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Downtown Moncton ~ Moncton (centre-ville),"Apt &
Other /
App. &
autres",$752,c,$894,b,$973,a,**,,$935,a
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Downtown Moncton ~ Moncton (centre-ville),Total,$752,c,$894,b,$971,a,**,,$934,a
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Garden Hill,"Row / En
bande",--,,--,,**,,--,,**,
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Garden Hill,"Apt &
Other /
App. &
autres",$705,a,$734,c,$889,b,$938,c,$847,b
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Garden Hill,Total,$705,a,$734,c,$893,b,$938,c,$849,b
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Total,"Row / En
bande",**,,**,,$913,a,**,,$913,b
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Total,"Apt &
Other /
App. &
autres",$740,b,$850,b,$946,a,$955,c,$905,a
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Total,Total,$740,b,$850,b,$945,a,$955,c,$905,a
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,West Moncton ~ Moncton Ouest,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,West Moncton ~ Moncton Ouest,"Apt &
Other /
App. &
autres",$733,b,$785,a,"$1,046",c,$885,c,$932,c
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,West Moncton ~ Moncton Ouest,Total,$733,b,$785,a,"$1,046",c,$885,c,$932,c
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,Total,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,Total,"Apt &
Other /
App. &
autres",$733,b,$785,a,"$1,046",c,$885,c,$932,c
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,Total,Total,$733,b,$785,a,"$1,046",c,$885,c,$932,c
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Sunny Brae,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Sunny Brae,"Apt &
Other /
App. &
autres",**,,$725,b,$894,a,**,,$878,a
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Sunny Brae,Total,**,,$725,b,$894,a,**,,$878,a
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Lewisville/Harrisville,"Row / En
bande",--,,--,,**,,--,,**,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Lewisville/Harrisville,"Apt &
Other /
App. &
autres",**,,**,,"$1,263",d,**,,"$1,224",d
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Lewisville/Harrisville,Total,**,,**,,"$1,262",d,**,,"$1,224",d
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Humphrey,"Row / En
bande",--,,**,,**,,--,,**,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Humphrey,"Apt &
Other /
App. &
autres",**,,$829,b,"$1,023",b,**,,$988,b
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Humphrey,Total,**,,$829,b,"$1,020",b,**,,$986,b
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Magnetic Hill/Irishtown,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Magnetic Hill/Irishtown,"Apt &
Other /
App. &
autres",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Magnetic Hill/Irishtown,Total,--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Total,"Row / En
bande",--,,**,,"$1,020",c,--,,"$1,020",c
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Total,"Apt &
Other /
App. &
autres",$724,c,$821,b,"$1,082",b,"$1,066",c,"$1,041",b
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Total,Total,$724,c,$821,b,"$1,081",b,"$1,066",c,"$1,041",b
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Parkton,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Parkton,"Apt &
Other /
App. &
autres",$660,a,$907,a,"$1,054",a,"$1,223",c,$986,a
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Parkton,Total,$660,a,$907,a,"$1,054",a,"$1,223",c,$986,a
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,North End/Ryan Road/Hildegarde,"Row / En
bande",--,,--,,**,,--,,**,
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,North End/Ryan Road/Hildegarde,"Apt &
Other /
App. &
autres",$865,a,"$1,109",b,"$1,152",a,**,,"$1,141",a
