Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Halifax County East ~ Comté d'Halifax (Est),"Row / En
bande",--,,**,,**,,--,,$1397,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Halifax County East ~ Comté d'Halifax (Est),"Apt &
Other /
App. &
autres",--,,--,,**,,--,,**,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Halifax County East ~ Comté d'Halifax (Est),Total,--,,**,,$1056,d,--,,$1181,b
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Total,"Row / En
bande",--,,**,,$1481,a,$1375,a,$1417,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Total,"Apt &
Other /
App. &
autres",**,,$815,a,$1349,a,$1415,c,$1281,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Total,Total,**,,$865,a,$1352,a,$1396,a,$1289,a
N.S./N.-É.,Halifax,Total,Total,"Row / En
bande",**,,$893,b,$1200,b,$1447,a,$1316,a
N.S./N.-É.,Halifax,Total,Total,"Apt &
Other /
App. &
autres",$812,a,$904,a,$1156,a,$1355,a,$1066,a
N.S./N.-É.,Halifax,Total,Total,Total,$812,a,$904,a,$1156,a,$1362,a,$1069,a
N.S./N.-É.,Total,Total,Total,"Row / En
bande",**,,$893,b,$1200,b,$1447,a,$1316,a
N.S./N.-É.,Total,Total,Total,"Apt &
Other /
App. &
autres",$812,a,$904,a,$1156,a,$1355,a,$1066,a
N.S./N.-É.,Total,Total,Total,Total,$812,a,$904,a,$1156,a,$1362,a,$1069,a
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Downtown Moncton ~ Moncton (centre-ville),"Row / En
bande",**,,**,,**,,**,,**,
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Downtown Moncton ~ Moncton (centre-ville),"Apt &
Other /
App. &
autres",$588,c,$719,a,$833,b,$802,d,$769,a
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Downtown Moncton ~ Moncton (centre-ville),Total,$588,c,$719,a,$833,b,$801,c,$769,a
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Garden Hill,"Row / En
bande",--,,--,,**,,--,,**,
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Garden Hill,"Apt &
Other /
App. &
autres",$565,b,$650,a,$776,b,$825,d,$740,b
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Garden Hill,Total,$565,b,$650,a,$783,b,$825,d,$745,a
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Total,"Row / En
bande",**,,**,,**,,**,,**,
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Total,"Apt &
Other /
App. &
autres",$584,c,$701,a,$811,a,$818,c,$759,a
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Total,Total,$584,c,$701,a,$813,a,$817,c,$760,a
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,West Moncton ~ Moncton Ouest,"Row / En
bande",--,,--,,--,,--,,--,
