Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Waverley/Fall River/Beaverbank,Total,**,',**,',**,',**,',**,'
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Halifax County East ~ Comté d'Halifax (Est),Row,--,',**,',**,',**,',**,'
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Halifax County East ~ Comté d'Halifax (Est),"Apt &
Other",--,',**,',**,',--,',**,'
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Halifax County East ~ Comté d'Halifax (Est),Total,--,',**,',**,',**,',**,'
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Total,Row,--,',**,',**,',**,',**,'
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Total,"Apt &
Other",**,',0.00%,d,0.30%,b,**,',0.30%,b
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Total,Total,**,',0.00%,d,0.50%,b,0.00%,d,0.40%,b
N.S.,Halifax,Total,Total,Row,**,',0.00%,d,**,',0.30%,b,1.00%,d
N.S.,Halifax,Total,Total,"Apt &
Other",1.20%,a,1.10%,a,0.90%,a,1.10%,a,1.00%,a
N.S.,Halifax,Total,Total,Total,1.20%,a,1.10%,a,0.90%,a,1.10%,a,1.00%,a
N.S.,Total,Total,Total,Row,**,',0.00%,d,**,',0.30%,b,1.00%,d
N.S.,Total,Total,Total,"Apt &
Other",1.20%,a,1.10%,a,0.90%,a,1.10%,a,1.00%,a
N.S.,Total,Total,Total,Total,1.20%,a,1.10%,a,0.90%,a,1.10%,a,1.00%,a
N.B.,Moncton,Central Moncton ~ Moncton Centre,Downtown Moncton ~ Moncton (centre-ville),Row,**,',**,',**,',**,',**,'
N.B.,Moncton,Central Moncton ~ Moncton Centre,Downtown Moncton ~ Moncton (centre-ville),"Apt &
Other",**,',**,',1.00%,a,**,',2.00%,c
N.B.,Moncton,Central Moncton ~ Moncton Centre,Downtown Moncton ~ Moncton (centre-ville),Total,**,',**,',1.00%,a,**,',2.00%,c
N.B.,Moncton,Central Moncton ~ Moncton Centre,Garden Hill,Row,--,',--,',**,',--,',**,'
N.B.,Moncton,Central Moncton ~ Moncton Centre,Garden Hill,"Apt &
Other",**,',0.40%,b,**,',**,',**,'
N.B.,Moncton,Central Moncton ~ Moncton Centre,Garden Hill,Total,**,',0.40%,b,**,',**,',**,'
N.B.,Moncton,Central Moncton ~ Moncton Centre,Total,Row,**,',**,',**,',**,',**,'
N.B.,Moncton,Central Moncton ~ Moncton Centre,Total,"Apt &
Other",**,',1.50%,d,1.80%,c,**,',2.40%,c
N.B.,Moncton,Central Moncton ~ Moncton Centre,Total,Total,**,',1.50%,d,1.80%,c,**,',2.40%,c
N.B.,Moncton,West Moncton ~ Moncton Ouest,West Moncton ~ Moncton Ouest,Row,--,,--,,--,,--,,--,
N.B.,Moncton,West Moncton ~ Moncton Ouest,West Moncton ~ Moncton Ouest,"Apt &
Other",0.00%,d,**,',1.60%,c,**,',1.50%,a
N.B.,Moncton,West Moncton ~ Moncton Ouest,West Moncton ~ Moncton Ouest,Total,0.00%,d,**,',1.60%,c,**,',1.50%,a
N.B.,Moncton,West Moncton ~ Moncton Ouest,Total,Row,--,,--,,--,,--,,--,
N.B.,Moncton,West Moncton ~ Moncton Ouest,Total,"Apt &
Other",0.00%,d,**,',1.60%,c,**,',1.50%,a
N.B.,Moncton,West Moncton ~ Moncton Ouest,Total,Total,0.00%,d,**,',1.60%,c,**,',1.50%,a
N.B.,Moncton,East Moncton ~ Moncton Est,Sunny Brae,Row,--,,--,,--,,--,,--,
N.B.,Moncton,East Moncton ~ Moncton Est,Sunny Brae,"Apt &
Other",**,',0.00%,d,0.70%,b,**,',0.60%,b
N.B.,Moncton,East Moncton ~ Moncton Est,Sunny Brae,Total,**,',0.00%,d,0.70%,b,**,',0.60%,b
N.B.,Moncton,East Moncton ~ Moncton Est,Lewisville/Harrisville,Row,--,',--,',**,',--,',**,'
N.B.,Moncton,East Moncton ~ Moncton Est,Lewisville/Harrisville,"Apt &
Other",**,',0.00%,d,**,',**,',0.60%,b
N.B.,Moncton,East Moncton ~ Moncton Est,Lewisville/Harrisville,Total,**,',0.00%,d,**,',**,',0.50%,b
N.B.,Moncton,East Moncton ~ Moncton Est,Humphrey,Row,--,',**,',**,',--,',**,'
N.B.,Moncton,East Moncton ~ Moncton Est,Humphrey,"Apt &
Other",**,',**,',1.70%,c,**,',1.80%,c
N.B.,Moncton,East Moncton ~ Moncton Est,Humphrey,Total,**,',**,',1.60%,c,**,',1.80%,c
N.B.,Moncton,East Moncton ~ Moncton Est,Magnetic Hill/Irishtown,Row,--,,--,,--,,--,,--,
N.B.,Moncton,East Moncton ~ Moncton Est,Magnetic Hill/Irishtown,"Apt &
Other",--,,--,,--,,--,,--,
N.B.,Moncton,East Moncton ~ Moncton Est,Magnetic Hill/Irishtown,Total,--,,--,,--,,--,,--,
N.B.,Moncton,East Moncton ~ Moncton Est,Total,Row,--,',**,',**,',--,',**,'
N.B.,Moncton,East Moncton ~ Moncton Est,Total,"Apt &
Other",1.20%,d,**,',1.20%,a,0.00%,d,1.20%,a
N.B.,Moncton,East Moncton ~ Moncton Est,Total,Total,1.20%,d,**,',1.20%,a,0.00%,d,1.20%,a
N.B.,Moncton,North Moncton ~ Moncton Nord,Parkton,Row,--,,--,,--,,--,,--,
N.B.,Moncton,North Moncton ~ Moncton Nord,Parkton,"Apt &
Other",0.00%,d,3.50%,d,2.70%,c,**,',2.70%,c
N.B.,Moncton,North Moncton ~ Moncton Nord,Parkton,Total,0.00%,d,3.50%,d,2.70%,c,**,',2.70%,c
N.B.,Moncton,North Moncton ~ Moncton Nord,North End/Ryan Road/Hildegarde,Row,--,',--,',**,',--,',**,'
N.B.,Moncton,North Moncton ~ Moncton Nord,North End/Ryan Road/Hildegarde,"Apt &
Other",**,',0.00%,d,**,',**,',**,'
N.B.,Moncton,North Moncton ~ Moncton Nord,North End/Ryan Road/Hildegarde,Total,**,',0.00%,d,**,',**,',**,'
N.B.,Moncton,North Moncton ~ Moncton Nord,Total,Row,--,',--,',**,',--,',**,'
N.B.,Moncton,North Moncton ~ Moncton Nord,Total,"Apt &
Other",0.00%,d,3.20%,d,2.40%,c,**,',2.40%,c
N.B.,Moncton,North Moncton ~ Moncton Nord,Total,Total,0.00%,d,3.20%,d,2.40%,c,**,',2.40%,c
N.B.,Moncton,Riverview,Riverview,Row,--,',**,',**,',**,',**,'
N.B.,Moncton,Riverview,Riverview,"Apt &
Other",**,',0.00%,d,0.30%,b,0.00%,d,0.20%,b
N.B.,Moncton,Riverview,Riverview,Total,**,',0.00%,d,0.30%,b,0.00%,d,0.20%,b
N.B.,Moncton,Riverview,Total,Row,--,',**,',**,',**,',**,'
N.B.,Moncton,Riverview,Total,"Apt &
Other",**,',0.00%,d,0.30%,b,0.00%,d,0.20%,b
N.B.,Moncton,Riverview,Total,Total,**,',0.00%,d,0.30%,b,0.00%,d,0.20%,b
N.B.,Moncton,Dieppe City ~ Ville de Dieppe,Downtown Dieppe ~ Dieppe (centre-ville),Row,--,',--,',**,',--,',**,'
N.B.,Moncton,Dieppe City ~ Ville de Dieppe,Downtown Dieppe ~ Dieppe (centre-ville),"Apt &
Other",**,',0.90%,a,2.00%,c,5.20%,d,1.90%,c
N.B.,Moncton,Dieppe City ~ Ville de Dieppe,Downtown Dieppe ~ Dieppe (centre-ville),Total,**,',0.90%,a,1.80%,c,5.20%,d,1.80%,c
N.B.,Moncton,Dieppe City ~ Ville de Dieppe,St. Anselme,Row,--,',**,',**,',**,',**,'
N.B.,Moncton,Dieppe City ~ Ville de Dieppe,St. Anselme,"Apt &
Other",--,',**,',**,',--,',**,'
N.B.,Moncton,Dieppe City ~ Ville de Dieppe,St. Anselme,Total,--,',**,',**,',**,',**,'
N.B.,Moncton,Dieppe City ~ Ville de Dieppe,Fox Creek/Lakeburn,Row,--,',--,',**,',**,',0.00%,d
N.B.,Moncton,Dieppe City ~ Ville de Dieppe,Fox Creek/Lakeburn,"Apt &
Other",--,',**,',0.60%,a,**,',0.50%,a
N.B.,Moncton,Dieppe City ~ Ville de Dieppe,Fox Creek/Lakeburn,Total,--,',**,',0.60%,b,**,',0.50%,b
N.B.,Moncton,Dieppe City ~ Ville de Dieppe,Total,Row,--,',**,',**,',**,',0.00%,d
N.B.,Moncton,Dieppe City ~ Ville de Dieppe,Total,"Apt &
Other",**,',0.80%,a,1.80%,c,**,',1.70%,c
N.B.,Moncton,Dieppe City ~ Ville de Dieppe,Total,Total,**,',0.80%,a,1.60%,c,**,',1.50%,c
N.B.,Moncton,Remainder of CMA ~ Reste de la RMR,"Southern Remainder of Moncton CMA ~
Moncton RMR (reste Sud)",Row,--,',**,',--,',--,',**,'
N.B.,Moncton,Remainder of CMA ~ Reste de la RMR,"Southern Remainder of Moncton CMA ~
Moncton RMR (reste Sud)","Apt &
Other",**,',**,',**,',**,',**,'
N.B.,Moncton,Remainder of CMA ~ Reste de la RMR,"Southern Remainder of Moncton CMA ~
Moncton RMR (reste Sud)",Total,**,',**,',**,',**,',**,'
N.B.,Moncton,Remainder of CMA ~ Reste de la RMR,"Northern Remainder of Moncton CMA ~
Moncton RMR (reste Nord)",Row,--,',**,',**,',--,',**,'
N.B.,Moncton,Remainder of CMA ~ Reste de la RMR,"Northern Remainder of Moncton CMA ~
Moncton RMR (reste Nord)","Apt &
Other",--,',--,',**,',--,',**,'
N.B.,Moncton,Remainder of CMA ~ Reste de la RMR,"Northern Remainder of Moncton CMA ~
Moncton RMR (reste Nord)",Total,--,',**,',**,',--,',**,'
N.B.,Moncton,Remainder of CMA ~ Reste de la RMR,Total,Row,--,',**,',**,',--,',**,'
N.B.,Moncton,Remainder of CMA ~ Reste de la RMR,Total,"Apt &
Other",**,',**,',**,',**,',**,'
N.B.,Moncton,Remainder of CMA ~ Reste de la RMR,Total,Total,**,',**,',0.00%,d,**,',0.00%,d
